review_number,review
461,"Amazing food, great view, nice variety of choices (both in price & food).  Outdoor patio is cooled by misters and covered with patio umbrellas, but smoking is permitted.  If you want to enjoy natural sunlight and get a peek outside, ask to sit in the atrium by a window.  Lunch options include $9 -$18 salads, $12-$15 sandwiches, $12-$14 (and a prime $18) burgers, $18-$23 entrees ($32 for filet mignon).  We ordered the seared salmon entree and the full Mussels Marinière appetizer (which came with their amazing fries and was enough for a meal).  I'm not a big fan of mussels, but these were amazing.  I've posted a photo of the salmon, which was served with orzo pasta mixed with asparagus and peas.  The only thing I would have changed is to substitute edamame for the peas, but it was still fantastic as served."
462,"The food is not very good. I ordered the sauteed sole and it was so bland and tasteless. It was something that I could have done a better job at and I don't really consider myself a cook. My husband  had the filet mignon and thought it tasted like it had been previously frozen. The service was a little slow but friendly. The atmosphere was very nice. Overall, it was a very disappointing experience especially considering how expensive it was."
463,Good food. We had cold yellow and red beet soup. It was ok. The beets needed to be cooked before purring it had really uncomfortable taste if raw beets. I had scallops - Off the wall good and my husband had steak frittatas. Amazingly melting in you mouth. Just like cotton candy. Loved it
464,"I go to Mon Ami Gabi every year when I am in Vegas for work.  I usually stay at the Paris, so it is convenient.  Plus, the views from the patio is of the Bellagio water show every 20 minutes or so.We started with our usual Escargot appetizer and it is great paired with the french bread at your table.  Buttery pesto garlic deliciousness.I am simple at M.A.G.  I've been so many times, I've honed in on one item - the Filet Mignon with Merlot Butter.  The meat is so soft, you swear you can cut it with a fork.  And the flavors are off the charts.I was too full to attempt dessert.  But I've had it before and it does not fail.I'm a big fan of Mon Ami Gabi.  It is a great place for a fancy dinner, or a dinner meeting, or just to eat and people watch the freaks in Vegas make their way down the strip."
465,"very good lunch place, great service, reasonably priced.oysters du jour - pretty freshbaked mac & cheese - delicious, cheesy crispy top, hot gooey saucesteak frites - my least favorite dish, the steak was very dryseared salmon w/orzo - VERY, VERY good.  cooked just enough to perfection.the total came out to be about $90 with tax & 20% tip included."
466,"My wife and I were in Vegas for our honeymoon and stayed at Bellagio.  We had dinner at Mon Ami on a whim our second night and it was fantastic!The baked cheese appetizer is a must-have, and we really liked the steak frites.  I had the one with Bearnaise sauce and loved it, my wife had the blue cheese and it was great too.We didn't think breakfast was as good as dinner - the food was good but spendy.  Still, compared to restaurants in the vicinity it was still a value.  It seems like everything's expensive near Bellagio.It's not cheap - for dinner we had a carafe of their Frangria (think sangria), the baked cheese appetizer, and two steaks.  We were out the door with a good tip for just over $100.  Enjoy!"
467,"Made reservation through opentable & came here for lunch last Friday. Staff were very attentive. Our server made sure we didn't pour our carafe of Frangria (reallliee good) ourselves :D  Great view, service, price, & food!!!On to the foodies we had:*Mussels Marinière* --  Absolutely deee-lishcious!!!  Best mussels dish I've yet had in Vegas. To savor it all (down to the last few drips of sauce) we dipped the remaining of our fresh baguette into their white wine & herb sauce. Yuumm!! *Seafood Crepe* -- Excellent dish! Nice sized scallops & shrimps - perfectly cooked. Best eaten when served fresh out from the kitchen.*Grilled Salmon & Spinach Salad* -- The blueberries & walnuts went so well with this salad! Big portion salmon - flavorful, not dry & grilled just right on a semi warm bed of spinich.HELLSYA i'll be returning to dine at this place again... well the next time i'm out here for Vegas~!  ^^;"
468,"Having done Vegas (at least once) every year for the past few years, it's nice to finally find a restaurant that is not overpriced, doesn't make you feel super-touristy (even while you're eating right on the strip), and has decent food.  Based on the food, I would give it more like a 3.5 stars but I'm going to round it up for pricing and service.First of all, I have to say the service was wonderful - never rushed and the food coming in at perfect intervals.  By some stroke of bon fortuna, my sister and I were seated immediately on the patio even though it was a Saturday night and the restaurant was already packed to the max with diners.  Once seated, we were served our waters almost immediately and given our very own small baguette.  The baguette was good, but the complimentary creamy carrot-based dipping sauce it came with was perfection!  I hope they put that on their regular menu because I would pay for that.Our waiter took our orders pretty promptly which gave us enough time to sit and relax and watch the Bellagio fountain show before our app showed up.  We had the escargot to start off with.  They serve you 6 of these bad boys, already de-shelled and therefore not so intimidating for first-timers like us.  They were absolutely delicious - covered in enough butter and garlic and herbs to make you forget you were eating a snail.  Their fish is supposed to be fresh everyday which is always a plus for this Californian.  So for our main course, I ordered the skate and my sister had the trout.  The skate was too salty, but had a decent amount of butter to keep it edible.  Skate is pretty tasty on its own so I wasn't sure why they had to drench that thing with so much salt.  The fancy garlic potato chips and mixed veggie accompaniment were very good however.  My sister's trout was exactly what I expected it to taste like - which is to say it tasted more like trout with butter and lemon and less like a salty hot mess like mine did.  The total bill came out to, what?  $55?  Wow, you can eat good food for a good price on the strip!  Overall, the food had some highs and lows but the service along with the beautiful views were enough to make for the beginning of a good night in Vegas."
469,"Flew in here for bites on a yelp lead: did not disappoint! Vegas either has high end or low rent, there is no real decent culinary middle of the road in these parts high roller. However Mon Ami is not a gamble and delivers on minimum chips ;)"
470,"The place was excellent just like I expected it to be. We didn't get patio seating unfortunately, so I will use that as my excuse next time to come here again! But then, this place really needs no excuse for me to dine...The staff here are super friendly and courteous, and very efficient. Our waitress was easy to chat with, very knowledgeable about the menu, and answered even our silly questions about the humongous wine bottles decorating the restaurant. She was very on top of everything, checking periodically to make sure everything was to our liking while my friends and I dined.Between all 4 of us, we ordered the BLT sandwich, seafood crepe, chicken crepe, and the sandwich of the day - lamb burger stuffed with roquefort cheese. The 2 sandwiches came with waffle fries and regular fries respectively. However, their fries are very different, as they are cut super super thin, so it's like eating potato chips instead of french fries. I loved this, but my friend was not quite as fond of it. We all liked our main dish though, so that was alright =). My lamb burger was juicy and oh-so-delish. The roquefort was just such yummy goodness and a perfect complement to the lamb, which was cook to a perfect medium-rare just as I requested. I can't tell you how happy that makes me when a restaurant can fulfill such a simple request such as this. You would think the request is simple but you will be amazed how many places always get it wrong.The ambiance is very relaxing and chic, posh without being pretentious. It was a lovely experience and I can't wait to go back again!"
471,"Great environment. Great Food. Great Service! My gf and I were running late so we extended our reservation and gladly they were able to do so. In the end, we were still very late (we had to walk from aria to take the tram from city center to get bellagio then walk over to paris).  For a sec, I thought we would have to wait in line for our table and then we would have to run to MGM to catch our show @ 930. But turns out, our table was still there and it was a pretty good spot (right next to the window). So we didn't have to sit outside and deal with heat, but at the same time we were able to see the fountains at Bellagio. Food wise. We decided to go with seafood because we had enough of buffets and steaks. We ordered 3 dishes: Mussels Mariniere (white wine and herbs), Escargots, Seared Sea Scallops. I must admit I was really impressed with the Scallops and Mussels. Scallops and Mussles were really fresh and tender. Due to bad experiences with escargots, i have not had it for years until I came to Mon Ami Gabi. And lets just say the escargot was not too bad. Also, i believe the mussels came with fries, which tasted like chips. Not bad. Dinner was served quickly. Service was great. We didn't need to rush for the show. We had more than enough time. We ended up having time to walk from Paris to MGM. Overall, this was a fantastic experience. My gf and I will be back on our next trip to Vegas.....Mon Ami Gabi."
472,"I don't mean to be harsh, but I'll never eat there again. Sirloin should not be prepared that way, it was flat and tough. I've never had a sirloin that was as tough as that. I got the steak classic, sauce was good, but couldn't deliver the steak. I hear the view is nice on the patio but we ate inside to escape the heat so I had to leave my rating at two stars. FYI, total came out to $31 for 9 ounces of ""Sirloin""."
473,"I was out and about this past weekend, photowalking with a friend down The Strip with the Paris being our first stop.  It was roughly 4:00pm or so when our stomachs began to speak to us.  A quiet stomach is usually a happy one, and mine was getting ready to tell me off for not feeding it.  My friend said that steak frites makes for a good dish; me being fairly unexposed to French Cuisine, I learn that it's a common dish consisting of a steak and fries.  I like steak, and I love potatoes, so this sounded like a winning combination to me.  We wandered through the Paris and looked at the menus of the different restaurants and cafes; surprisingly, the price for steak frites appeared to be cheapest at Mon Ami Gabi!  The other cafes offered steak frites for about $3 to $4 more than Mon Ami Gabi's offering.So after deciding, my friend and I enter Mon Ami and are seated quickly, indoors just as we asked.  Water was brought to our table, and we were asked if we knew what we wanted.  It's hard to know what I want when we've been seated for less than two minutes...but okay.  We ask for a few more minutes, and the waitress then explains the day's specials.  My friend and I haven't even ordered yet and we both get the feeling that our server is either having a bad day, or doesn't want to work there.  The next time she comes by, we order the Steak Bearnaise ($23.95), a steak frites dish serve with bearnaise sauce.  While waiting for our dish we enjoy ourselves some french bread and butter.When the food came, the dish was exactly what my friend had explained: steak and fries!  The steak was a thin strip of meat that we had cooked medium.  Fries were thin, crispy, and barely salted.  It made for a very pleasing side to the steak.  The bearnaise sauce was thick enough to coat either the steak or fries when dipped, but thin enough to start dripping off your food if you didn't eat it right away.  A nice buttery consistency and flavor, with hints of white wine possibly.  The food was good; something I'd travel back to the Paris for?  Not really.  My rating above is a reflection of the service my friend and I experienced.  We were visited by our server a total of four times during our meal: to bring us water, to take our order, to take our dishes away and to drop off the check.  No asking how the food was, refills on our water, not even stopping by to see how things were after making eye contact with the server.  We didn't feel welcomed, we felt like a burden to the server.  This didn't feel like a French restaurant on the strip, this felt like a bad night at Applebees.  And that's not a hit to Applebees; I'm satisfied with the service at Applebees."
474,"This review is long overdue! I have been eating here for years, it is always on my ""must have"" list when visiting vegas. I have NEVER been disappointed with the food or service in the many years I have eaten here. I love everything on the menu. EVERYTHING. Honestly you cant go wrong. The french onion soup, the bread, the steaks, the seafood, dessert - it is all fabulous. Thank you mon ami for being my favorite vegas restaurant!"
475,"Last time i went to vegas with a group of gf's they kept talking about these burgers at ""that one restaurant in Paris"" so finally after alot of talk we went to go try it out.  The burgers were quite yum...not your average burgers ut speciatly stuff with special cheeses and what not.  the burgers were yum and they come with a bucket of yummy fries BUT i still think the counter is better!"
476,"We sat in the sweet spot of the dining room closest to the street: at one of the tables just inside the open french windows, sheltered from the midday heat but with a nice view of the Bellagio fountains across the street.The design is French brasserie all the way; the service is cheerful American. This may be the perfect combination.Let's pause for a moment and offer thanks for the baguette. It's placed on your table in a paper bag. So chic. But the taste: the shattering crunch of the exterior, the fresh and chewy interior, the joy of its union with the rapidly melting, slightly salted butter . . . You could just eat the whole thing yourself, or you could order lunch. Both are good choices.We shared the butter lettuce salad, which allegedly included asparagus (didn't see many; maybe husband stole them while I was having an affair with the bread) and a huge round of goat cheese. Briefly considered slathering the rest of the baguette with same, wolfing down the whole thing, and returning to the room for a nap. No! Discipline!Ahi tuna burger was moist and delicious. Lots of wines by the glass; the riesling was refreshing.But whatever. I primly rolled up the top of the baguette bag and popped it in my purse. Nana would have been proud."
477,"RIP-OFF ALERT: There is an automatic 18% gratuity for parties of 5 (!!!!) or more. And that includes breakfast!Other than that, the place is fine. I just cannot stand this sort of cheats anymore."
478,"The food was well priced for what we got.  I think the service was above average but not stellar, probably what kept me from giving it 5 stars."
479,"This place was great!  The food was superb, the staff was really on point even to the point of cleaning up the crumbs that were on our table.  The food was delicious and not extremely overpriced (esp for Vegas).  We managed to get some patte and corned beef on the cusp of breakfast/lunch.  Our waiter managed to sneak us in.  However, the greatest perk of this restaurant is that it is right in front of the Belagio.  The fountain wasn't working when I was there, but I can imagine it going off while you're eating your meal."
480,"A friend had recommended this place for lunch. I was hoping that my friend & I could get in without making reservations. It looked packed.Since it was just 2 of us, we were able to get a table outside with no problem. I don't know if that happens all the time. But it worked out for me. I tried one of the day's specials. It was a cod sandwich with aioli sauce. The sandwich was great. But it was the aioli sauce that put it over the top."
481,"This is one of the most amazing French food experiences I have ever had. It definitely bought me into a little nostalgia of being in France. I wish i knew our server's name, but he was number 13 and was an excellent waiter. He was constantly checking on us and making sure everything was okay, he also have really nice blue eyes and was very charming. :D He hooked my friends and I up with the breakfast menu since it was near the end of breakfast/beginning of lunch. We were given fresh baguettes and they were still warm with butter! :) YUM! I ordered the country style pâté ($9.95) for an appetizer, which was pretty damn good. :)My friends ordered the Three Eggs and Corned Beef Hash & Poached Eggs. It looked really damn good and they were very good portions especially since it was about $9.95-10.95. I got the Steak Frites with Red Wine sauce. The FLAVOR WAS AMAZING and the Steak was perfectly cooked to the way I wanted it. Truly a symphony of flavor for sure. The next time I go to Vegas, I am definitely stopping by Mon Ami Gabi first, it would be the perfect way to start vegas for anyone that loves good food and French cuisine! Bon appetit!Je reviendrai ici la prochaine fois! :D"
482,"""I can't believe I drank that much...if I see another Captain 'n Coke I'm going to puke."" ""I'm never drinking again.""  Sound familiar?  Well, that's what we were telling ourselves when we were looking around for a place to grab brunch.  I remember coming across Mon Ami Gabi when I looked at Yelp reviews, so my coworker and I decided to check out the menu and look inside.  As we walked into the main part of the restaurant, we were blown away by a HUGE bloody mary bar.  Both of us looked at each other with our mouths hanging open.  I'm not sure if it was because I was still drunk...but the bloody mary bar had a glowing aura around it.   It was a sign.  We were meant to drink more here.  I'm still convinced that bloody marys are a panacea for hangovers.  Trust me, try it out next time.Anyway, after we finished staring at the bloody mary bar for 5 minutes, we walked to the back of the restaurant and we fell in love.  There was a beautiful outdoor seating area and the rest of the restaurant had sunlight streaming in.  The food was great.  My coworker and I ordered two soups.  I've attached pictures for your reference. ;)  I got a porcini mushroom soup and it was DELICIOUS.  One of the best soups I've ever had.  For lunch, my coworker ordered the salad with grilled salmon and I had the croque madame.  The grilled salmon salad was very tasty.  My croque madame was very good, but I found the bread to be a bit too buttery and crunchy to my liking.  Can you believe it?  I actually said something was TOO buttery.  Butter and bacon...can't live without it. I will definitely be back for the good food, impeccable service, beautiful atmosphere, and of course, bloody mary heaven.  ;)"
483,"I loved the restaurant. I came in and it was gorgeous. I asked for a seat on the enclosed patio. I was reminded of a greenhouse. I was served a whole baguette with butter, which I tasted but couldn't eat all by myself.I ordered an open-faced crab salad sandwich. The toast wasn't too great, but the crab salad was delicious. They had some sort of sauce on the side too that was great with the bread and with the little waffle potato chip side.It was $14.95 for lunch. Not bad for providing me with a Paris ambiance. As I dined, I felt like I was in France. Never been but that's how I imagine it."
484,"This is THE place.  Order the sirloin, I like it with the butter. Everyone at our table LOVED their food.  Fries are sick. I licked my plate, my fingers and my steak knife. Eat here."
485,The best breakfast I have ever had. Amazing french toast.  Large slices of bread that are crispy on the outside and doughy-rich on the inside. Covered with like two cups of just-softened blueberries and a large dollop of freshly whipped cream. Pour the warm blueberry syrup over it all. Heaven.  Attentive service. Seemed like they refilled our coffee every 90 seconds.  Cute atmosphere -- the atrium is light and airy. It seems like a French bistro on Las Vegas steroids.
486,"This is one of my favorite restaurants to go to on the strip. Fantastic to sit on the patio on a nice day/night.Being a vegetarian I am always limited to sides and salads on the strip. This place offers great sides and they also do a vegetarian platter which is a huge sampling plate of veggies. (whipped cauliflower very good!)During lunch, they do a good veggie burger.My favorite thing right now at this place is the warm brie cheese with honey and pepper and Frangria (French Sangria) - so good.Can be very romantic as you are right across the Bellagio fountain show and under the Eiffel tower. Great atmosphere!"
487,"Solid goodness, but not great. With some really fabulous buffets, it's almost unfair to compare a restaurant based on just one dish-- but this place has good food without gouging you price wise. Our table had the warm olive jar, warm Brie cheese with honey and escargot for appetizers, and these were all good but not great ( escargot was best). I had the steak Roquefort, and it was decent, for the price I was satisfied and didn't feel abused, but I'd rather go to a buffet. Atmosphere was nice, but not incredibly impressive either- it's hard to take a place seriously as an upscale location when you see guys roll in with suggestive tshirts on."
488,"I have always walked by Mon Ami GABI and always wanted to eat there. It has a great view of the Bellagio Fountains. This place has great food and service. 15 of my closest friends enjoyed a nice dinner here on a hot July day. The server was great. He was on top of everything. My friends and I shared our meals. We had the Lemon-Thyme Seared Salmon, Prime Rib, Oysters du jour, Roast Chicken & Frites, Steak Bearnasie and Seared Sea Scallops. The food was excellent. I would come back just to eat the Oysters, it was so good! It also didnt hurt that I was with people I love most in my life."
489,"Hands down, one of the best meals of life (...and I've had a lot of damn good meals)....We made a reservation at Mon Ami Gabi for dinner on the 4th of July. We sat inside and were waited on my Michelle, who was outstanding. When we got to the table they brought us an amuse bouche of orzo salad (yum) and their french bread...warm, crusty, oh-so-satisfying.We started our meal with a few drinks and also ordered the baked cheese. So, so good....I am craving it right now. It's basically a mixture of soft cheeses (cream cheese, goat cheese, etc.) that are baked in the oven, mixed with fresh marinara sauce, and served with toasted french bread drizzled in basil garlic oil. There were only two of us and we basically licked the bowl clean...it was that good.For our meals we both got the signature filet mignon with merlot butter and red wine reduction. I got the asparagus for my side and my friend got the fries. The portions were surprisingly large and the meat was impeccably cooked. The filet was soft and well seasoned....melted in my mouth. Without a doubt, the best steak I have ever had (and funnily enough also one of the cheapest). The asparagus was fresh and delicious. I also stole quite a few fries from across the table...those things are addictive. We ended the meal with creme brulee. The custard was sweet and creamy and rich....exactly what I wanted. Overall, a fantastic meal. I couldn't pick out a single flaw (and I can almost always pinpoint more than one). During our meal I looked around the nearby tables and picked up on a few conversations, and everyone was commenting on how spectacular the food and service were...lots of happy people and bellies. I will come here time and time again. Wonderful meal, wonderful waitress, and a price that honestly can't be beat. My new ""to go to"" place in Vegas."
490,"Another trip to Vegas mean another stop at Mon Ami Gabi. I just can't get enough of this place. The food was just as good as before, but the service was ehh this time around. I missed the waitress from before. Our waiter this time around was here and there but no connection. As always, we had the French onion soup, a small salad, and the liver platter. The French onion soup was just how I remember it to be. Hot and gooey from the melted cheese and warming with caramelized onions and the broth. The starter salad was just mixed greens with a light vinaigrette. Simple yet tasty. The liver platter was a first and it did not disappoint. You get a generous slice of liver mousse pate. It comes with sliced crusty French baguette and pickled mini onions and gherkins. It doesn't taste like liver pate at all. It's very soft and creamy in texture. For our group's entrees, we had the mussels that was steamed in white wine, burger du jour: open face duck burger stuffed with cheese, open faced ham and cheese sandwich, chicken and apple crepe, the ever so classic quiche Lorraine, and scallops. The mussels was fresh and delicious. It was great with the baguettes to soak up all the sauce. The burger du jour was not up to par as before. It was really gamey and needed something to counter balance that taste. But it was good nonetheless, if you like gamey duck. The opened faced ham and cheese was just good. You get a lot of the gooey cheese if you love cheese. It had a comfort food feeling attached to it. The scallops was not as big as the previous visit and it seemed a little bit overcooked this time around. The apple crepe was gigantic. It's a mix of savory and sweet. The chicken the the sliced granny smith apples goes really well together along with the white Alfredo sauce. It's definitely bigger than the normal crepes you can get at the crepe stand inside Paris. The classic quiche Lorraine was just like the previous time, wonderfully eggy. Everything was just soo yummy. I think we came in with high expectations from last time so we were a little bummed. It's still nice to see the water show from Bellagio across the street every 15 minutes tho!  See you in a few months..."
491,"On our trip to Vegas my bf and I were looking for a place to have lunch and we were walking around Paris' casino floor and starving so we decided to check out the menu outside Mon Ami Gabi. I was sold on their lunch selection so we proceeded to get a table on the patio.  The hostess may have lacked some common sense because she seated us at the table that was away from the fans that sprayed cool mists, umbrellas, and in direct sunlight in 105 degrees of heat. wth!? After burning our elbows on the scorching hot tables, the servers brought out iced cold water which melted within a few seconds due to where we were seated. My bf asked for a table change closer to where everyone else was being seated (under umbrellas and fans). Our server was really sweet and moved us to a table towards the side of the patio and it felt nice to have that section to ourselves.  Anyway we started off with the yogurt gazpacho that was part of their daily specials menu and it was so refreshing and tart for a hot day. the soup was served extremely chilled so it was perfect. For lunch, we got the steak sandwich with caramelized onions and a chicken blt sandwich. the steak sandwich and the fresh potato chips were definitely on point. As for the chicken sandwich, it was an ordinary chicken sandwich but the portion was pretty good.  Service was great here as well; our drinks were constantly refilled before they ever reached the half way point. The patio is definitely fun  to sit in to people watch and enjoy the view of the Bellagio fountain across the street."
492,We went here for Sunday brunch around noon. We got to sit down in the patio which was nice and cool and we had the spectacular bellagio water show view to enjoy. The mimosas were delicious and the French baguette hit the spot. Would love to eat here again.
493,Another very good meal at Mon Ami Gabi at the Paris Hotel-- thank you to my waiter Chris for his recommendations.  Had the filet mignon with a combination of the blue cheese and peppercorn sauce -- Delicious!!  Started with the market tomato salad -- nicely presented and very fresh. For dessert -- a bowl of fresh berries with chocolate sauce!! Just as good this morning as it was last night (It was a really big bowl)
494,"So, here's the scene. My friends and I are wicked hung over. It's the sort of hang over where you really need to purge a couple more times before you'll feel okay. Stupidly, we decide to eat here. We stumble through ordering before realizing the magnitude of our mistake. The view of the Bellagio fountains is great and the smell of the food wafting from other tables is probably great, when you aren't hung over. However, being hung over, this place was not good. I ordered some crepe-ish thing which came with a cloyingly heavy cream sauce. My stomach just couldn't take it. Those who know me know how much I can put away, but I just didn't have the stomach to get anywhere with these crepes. None of my friends were able to find hangover friendly fare either.*******Please note, I have eaten here when not hung over. It's a fairly solid restaurant, but only slightly better than Mimi's Cafe. I believe the primary value of this restaurant lies in the view and the location. There is much better French food for much less back home in SF."
495,"This place is a must go if you are dining in Las Vegas.Amazing steaks, amazing service.  I love their bread. If you get the mussels, dip the bread in the sauce.  It is so so good!!!Time your dinner around sunset.  Watch the Bellagio water show while you eat.  It is am amazing dining experience.  Trust me!."
496,"On our last full day in Vegas, my date and I had breakfast here.  We sat outside - thankfully out of the sun! - and each had the blueberry cinnamon toast.  VERY GOOD!  Thick cuts of bread with plenty of blueberry sauce and blueberries, topped with a huge dollop of whipped cream!  The only negative was my date had a little delay trying to get a black napkin as she was wearing a black skirt that morning.  If I am in Vegas again, I would definitely consider Mon Ami Gabi for breakfast again!"
497,"Forking over a hundred bucks cash for a dinner is NOT an easy proposition for me.  And to be perfectly honest, I wasn't entirely thrilled at the selection of this restaurant in particular.  I felt that if we were going to be dropping that kind of dough, we should have gone for one of the funkier restaurants that Vegas offers.But the group had spoken, and who am I to cause trouble.  (Acquiesce is my middle name.  Yeah... not the coolest middle name out there.  But it's better than Francis.)So to say that my expectations were low, and my grumpy levels were high would not be a misrepresentations.  Of course, the fact that I was having a great time with an awesome group of people did wonders for my overall levels of grumpitude.But all of that was blown away once the food arrived.  The crab cakes were awesome, and the fillet minion may very well rank at the top of the list of finest pieces of meat I have ever put in my mouth.  (Shut up.)Seriously.  It was an astonishingly delicious steak.  Astonishingly astonishing.  At that point, I was wondering if we were going to underpay with the hundreds.The place itself is nice.  Standard high end french bistro decor, with a great view of the Bellagio Fountains.  I was bummed that I was facing away from them - but really forgot all about it the second I cut into my steak.  Perfect food.  Yes please."
498,"I still can't pronounce the name of this place.Located in Paris hotel casino, this place is right near the entrance facing Las Vegas blvd.A friend decided on this place because of the yelp ratings.We came in with about 15-20 people around 4:30PM on a hot Saturday afternoon in the middle of July.We were seated right away, service was great!Glass was never empty and the servers were always around.However, the food took a while, but this was a big group.The fresh baguette was delicious!! Comes out hot and fresh =) yummm unlimited and free! Goes great with the butter and carrot thing.Had a glass of sangria which was refreshing and yummy =) my friend bought a pitcher and the waiter was nice enough to offer to put more ice in it.The menu had quite a few variety: seafood, steak, salad, and hamburgers. Price was decent for a nice restaurant. I would say everything was about $10-$30 a plate.The oysters ($15) was so delicious! Very fresh and they had a great vinegar sauce to go along with the horseradish. Yummy!!I ordered the prime medium well hamburger ($13) with grilled cheese, which came with a side of their frites. Hamburger was good. I loved the little pickles that came with it. The frite was yummy too, thin crispy french fries.I had a bite of the scallops and it was amazing!! I loved it!Overall I enjoyed our early dinner. I was super stuffed! I would come back again for the oysters and scallops!"
499,"I have no idea how to pronounce the name or what it means, but I'm a fan!  I was in Vegas a few months ago, and was very impressed by the ambiance, cleanliness, food quality and overall service.  We waited at the bar; I was on my kick of Maker's on the rocks with fresh ginger and lime and the bartender totally accommodated my request.  When we moved to the bar to patio seating, the bus boy carried our drinks, and  my ladle of ginger for later!We sat outside, and our server was kinda a smart ass, which was oddly fun.  We got a variety of dishes; pate, muscles and hanger steak.  Everything was delicious; well seasoned and cooked well.  I think we got dessert, but the night got a little foggy after all that Maker's.On top of all that, the heat lamps, view of the street and the Belaggio fountains and music going off all night set the mood perfectly."
500,"Great French restaurant at Paris. Excellent food and service. Make a reservation as the wait was 45-60 mins when we arrived, thankfully we had reserved on Open Table and walked right in. Ordered the peppercorn steak, it was good. My girlfriend had the roasted chicken, that was also good. It's not  THE BEST French food but the price is great. We had a shrimp cocktail appetizer, two entres, all for under $70, that's a decent deal.."
501,"great french bistrowhat i ate:- baguette: i usually dont mention the bread, but this bread was pretty amazing! came out warm with lovely butter and some type of corn orzo salad- sea scallops gratinee: very flavorful, but decided this was not the best way to eat scallops. the flavor of the scallops was covered by the sauce. although the sauce was amazing. i soaked up every bit with baguette- steak au poivre: i was expecting a much more peppery and flavorful sauce. i ordered the steak rare, so that it was very tender. of course, amazing fries- skate: delicate and flavorful. the bite i had was delicoius- seared sea scallops: i should have ordered this as my app instead of the gratinee. perfectly cookedpros:- reservations: they were so gracious and accommodating. we changed the reservation about five times before we got there, and then ended up needed to move to another table to fit in one more person. despite all the changes they were very willing to work with us- food: excellent french bistro food. everything i had was cooked well- service: attentive. constantly filling our wine glasses and water glassescons:- outside bathroom: i guess this is just one of those vegas hotel restaurant things, but restrooms are always located outside. kind of a drag to have to walk a bit to get to the ladies room, especially if youre seated way inside the restaurant- price: definitely not cheap, but honestly, not that expensive either. it really depends on what you splurge on - if you get an app, if you get wine, it all adds up.... i got an app, an entree, and had two bottles (share them with three others) and got away with paying $70 - tax+tip includedwould i go again? ... im not sure. while dinner was great, it wasnt crazy amazing. there are just so many other restaurants in vegas that i want to try. despite my caution about going again, i am still very glad i had dinner here."
502,"Delicious! This place is good. I had the bacon & poached egg frisee salad and it is awesome but the star of the meal is the steak frite. I had the steak bernaise and it was perfectly cooked, huge portion and $23. I have eaten here a few times and it is consistently good. My sister took a few bites of my food and told me it's the best steak frite she ever had. I don't know if I would go that far but it's damn good. Service is friendly and fast. There are a ton of great restaurants in Vegas to try but when your looking for good quality at a reasonable price it's worth going here."
503,"Last minute reservations to handle our party of 8? no problem! They were able to sit us within an hour of calling them ahead of time. Steak Bordelaise. Carmelized onions on steak, served with ""frites"". This was cooked perfectly and was a fairly large portion. My stomach was sufficiently full at the end of the meal. My main gripe with this place was our server. She probably walked by the table only once after the food was served. Both my water and soda supply was depleted, and she was no where to be seen. As I near the end of my steak, I finally catch a glimpse of her and wave her down to ask for a refill on both. She tosses my soda and water onto the table and quickly runs off again. It's times like these where I question the mandatory 18% gratuity rule. 3 stars for OK food for a HIGH price."
504,Once again this restaurant does not disappoint.  Four of us went here for breakfast on 7/4/11.  Food and service were great.  Location is excellent.  Love the Bloody Marys!
505,"My brunch experience here was very disappointing.My croque-madame was awful. I asked for my egg to be over easy, and it came out dry, flat, and completely cooked. Not at all runny. (To his credit, the waiter noticed, apologized, and asked if I wanted the egg redone. I just wanted to eat and get going, so I declined the offer.) The bread was thin and dry, and the ham and cheese were thin and greasy. I usually expect Bechamel sauce and a side salad with my croque-madame at nice restaurants. I am one who doesn't like leaving food unfinished, but the sandwich was so unpleasant that I left half of it untouched. If a French place can't make a good croque-madame, it immediately loses a dozen points in my book.I ordered a salad. It was tiny. Nothing special. Definitely not worth $9.The only part of the meal I enjoyed was the complimentary loaf of warm bread. Apart from the food, the indoor seating is a bit too dark and chilly for a pleasant brunch. We came here hoping for outdoor seating with a view of the Bellagio fountains, but the wait was too long so we opted to sit inside instead."
